Journal Name,Open Access Status,Online ISSN
"Journal Of Environmental Law","Hybrid","1464-374X"
"Journal of European Competition Law and Practice","Hybrid","2041-7772"
"Journal of Evolutionary Biology","Hybrid","1420-9101"
"Journal Of Experimental Botany","Hybrid","1460-2431"
"Journal Of Financial Econometrics","Hybrid","1479-8417"
"Journal of Financial Regulation","Hybrid","2053-4841"
"Journal of Global Security Studies","Hybrid","2057-3189"
"Journal Of Heredity","Hybrid","1465-7333"
"Journal of Hindu Studies","Hybrid","1756-4263"
"Journal of Human Rights Practice","Hybrid","1757-9627"
"Journal of Immunology, The","Hybrid","1550-6606"
"Journal Of Intellectual Property Law and Practice","Hybrid","1747-1540"
"Journal Of International Criminal Justice","Hybrid","1478-1395"
"Journal of International Dispute Settlement","Hybrid","2040-3593"
"Journal Of International Economic Law","Hybrid","1464-3758"
"Journal Of Islamic Studies","Hybrid","1471-6917"
"Journal of Language Evolution","Hybrid","2058-458X"
"Journal Of Logic And Computation","Hybrid","1465-363X"
"Journal of Mammalogy","Hybrid","1545-1542"
"Journal of Medical Entomology","Hybrid","1938-2928"
"Journal of Medicine and Philosophy","Hybrid","1744-5019"
"Journal Of Molluscan Studies","Hybrid","1464-3766"
"Journal of Music Therapy","Hybrid","2053-7395"
"Journal of Neuropathology and Experimental Neurology","Hybrid","1554-6578"
"Journal Of Pediatric Psychology","Hybrid","1465-735X"
"Journal Of Petrology","Hybrid","1460-2415"
"Journal of Pharmaceutical Health Services Research","Hybrid","1759-8893"
"Journal of Pharmacy and Pharmacology","Hybrid","2042-7158"
"Journal Of Plankton Research","Hybrid","1464-3774"
"Journal of Professions and Organization","Hybrid","2051-8811"
"Journal Of Public Administration Research And Theory","Hybrid","1477-9803"
"Journal Of Public Health","Hybrid","1741-3850"
"Journal Of Refugee Studies","Hybrid","1471-6925"
"Journal Of Semantics","Hybrid","1477-4593"
"Journal Of Semitic Studies","Hybrid","1477-8556"
"Journal of Social History","Hybrid","1527-1897"
"Journal of Survey Statistics and Methodology","Hybrid","2325-0992"
"Journal Of The American Academy Of Religion","Hybrid","1477-4585"
"Journal of the American Medical Informatics Association","Hybrid","1527-974X"
"Journal of the European Economic Association","Hybrid","1542-4774"
"Journal Of The History Of Collections","Hybrid","1477-8564"
"Journal Of The History Of Medicine And Allied Sciences","Hybrid","1468-4373"
"Journal of Leukocyte Biology","Hybrid","1938-3673"
"Journal of the National Cancer Institute","Hybrid","1460-2105"
"Journal of the Pediatric Infectious Diseases Society","Hybrid","2048-7207"
"Journal of Peace Research","Hybrid","1460-3578"
"Journal of Philosophy of Education","Hybrid","1467-9752"
"Journal of the Royal Statistical Society A: Statistics in Society","Hybrid","1467-985X"
"Journal of the Royal Statistical Society B: Statistical Methodology","Hybrid","1467-9868"
"Journal of the Royal Statistical Society C: Applied Statistics","Hybrid"," 1467-9876"
"Journal Of Theological Studies","Hybrid","1477-4607"
"Journal of Travel Medicine","Hybrid","1708-8305"
"Journal Of Tropical Pediatrics","Hybrid","1465-3664"
"Journal of Victorian Culture","Hybrid","1750-0133"
"Journal of World Energy Law & Business","Hybrid","1754-9965"
"Journals of Gerontology Series A: Biomedical Sciences and Medical Sciences","Hybrid","1758-535X"
"Journals of Gerontology Series B: Psychological Sciences and Social Sciences","Hybrid","1758-5368"
"Laboratory Medicine","Hybrid","1943-7730"
"Law, Probability and Risk","Hybrid","1470-840X"
"Letters in Applied Microbiology","Hybrid","1472-765X"
"Leo Baeck Institute Year Book","Hybrid","1758-437X"
"Literature And Theology","Hybrid","1477-4623"
"Logic Journal Of The Igpl","Hybrid","1368-9894"
"London Review of International Law","Hybrid","2050-6333"
"Mammalian Species","Hybrid","1545-1410"
"Mathematical Medicine And Biology: A Journal Of The Ima","Hybrid","1477-8602"
"Medical Law Review","Hybrid","1464-3790"
"Medical Mycology","Hybrid","1460-2709"
"MELUS: Multi-Ethnic Literature of the United States","Hybrid","1946-3170"
"Metallomics","Hybrid","1756-591X"
"Microscopy","Hybrid","2050-5701"
"Microscopy and Microanalysis","Hybrid","1435-8115"
"Microscopy Today","Hybrid","2150-3583"
"Migration Studies","Hybrid","2049-5846"
"Military Medicine","Hybrid","1930-613X"
"Mind","Hybrid","1460-2113"
"Modern British History","Hybrid","1477-4674"
"Modern Judaism: A Journal Of Jewish Ideas And Experience","Hybrid","1086-3273"
"Modern Rheumatology","Hybrid","1439-7609"
"Modern Rheumatology Case Reports","Hybrid","2472-5625"
"Molecular Human Reproduction","Hybrid","1460-2407"
"Molecular Omics","Hybrid","2515-4184"
"Music & Letters","Hybrid","1477-4631"
"Music Theory Spectrum","hybrid","1533-8339"
"Music Therapy Perspectives","Hybrid","2053-7387"
"Mutagenesis","Hybrid","1464-3804"
"Nephrology Dialysis Transplantation","Hybrid","1460-2385"
"Neuro-Oncology","Hybrid","1523-5866"
"Neuro-Oncology Practice","Hybrid","2054-2585"
"Nicotine & Tobacco Research","Hybrid","1469-994X"
"North American Journal of Aquaculture","Hybrid","1548-8454"
"North American Journal of Fisheries Management","Hybrid","1548-8675"
"Notes And Queries","Hybrid","1471-6941"
"Nutrition Reviews","Hybrid","1753-4887"
"Occupational Medicine","Hybrid","1471-8405"
"Ornithological Applications (formerly the Condor)","Hybrid","1938-5129"
"Ornithology (formerly The Auk)","Hybrid","1938-4254"
"Oxford Art Journal","Hybrid","1741-7287"
"Oxford Economic Papers","Hybrid","1464-3812"
"Oxford Journal of Law and Religion","Hybrid","2047-0789"
"Oxford Journal Of Legal Studies","Hybrid","1464-3820"
"Oxford Review Of Economic Policy","Hybrid","1460-2121"
"Paediatrics & Child Health","Hybrid","1918-1485"
"Pain Medicine","Hybrid","1526-4637"
"Parliamentary Affairs","Hybrid","1460-2482"
"Past & Present","Hybrid","1477-464X"
"Perspectives on Public Management and Governance","Hybrid","2398-4929"
"Philosophia Mathematica","Hybrid","1744-6406"
"Physical Therapy","Hybrid","1538-6724"
"Plant And Cell Physiology","Hybrid","1471-9053"
"Plant Physiology","Hybrid","1532-2548"
"Policing: A Journal Of Policy And Practice","Hybrid","1752-4520"
"Political Science Quarterly","Hybrid","1538-165X"
"Postgraduate Medical Journal","Hybrid","1469-0756"
"Proceedings of the Aristotelian Society","Hybrid","1467-9264"
"Protein Engineering, Design, and Selection","Hybrid","1741-0134"
"Public Health Ethics","Hybrid","1754-9981"
"Public Opinion Quarterly","Hybrid","1537-5331"
"Public Policy & Aging Report","Hybrid","2053-4892"
"Publications of the Astronomical Society of Japan","Hybrid","2053-051X"
"Publius","Hybrid","1747-7107"
"Qjm: An International Journal Of Medicine","Hybrid","1460-2393"
"Quarterly Journal Of Mechanics And Applied Mathematics","Hybrid","1464-3855"
"Radiation Protection Dosimetry","Hybrid","1742-3406"
"Refugee Survey Quarterly","Hybrid","1471-695X"
"Research Evaluation","Hybrid","1471-5449"
"Review of Asset Pricing Studies","Hybrid","2045-9939"
"Review of Corporate Finance Studies","Hybrid","2046-9136"
"Review of Economic Studies","Hybrid","1467-937X"
"Review Of English Studies","Hybrid","1471-6968"
"Review Of Finance","Hybrid","1573-692X"
"Rheumatology","Hybrid","1462-0332"
"Schizophrenia Bulletin","Hybrid","1745-1701"
"Science and Public Policy","Hybrid","1471-5430"
"Screen","Hybrid","1460-2474"
"Security Dialogue","Hybrid","1460-3640"
"Sexual Medicine Reviews","Hybrid","2050-0521"
"SLEEP","Hybrid","1550-9109"
"Social Forces","Hybrid","1534-7605"
"Social History Of Medicine","Hybrid","1477-4666"
"Social Politics","Hybrid","1468-2893"
"Social Problems","Hybrid","1533-8533"
"Social Science Japan Journal","Hybrid","1468-2680"
"Socio-Economic Review","Hybrid","1475-147X"
"Sociology of Religion: A Quarterly Review","Hybrid","1759-8818"
"Statute Law Review","Hybrid","1464-3863"
"Stem Cells","Hybrid","1549-4918"
"Systematic Biology","Hybrid","1076-836X"
"Teaching Mathematics and Its Applications: International Journal of the IMA","Hybrid","1471-6976"
"The American Journal of Jurisprudence","Hybrid","2049-6494"
"The British Journal Of Social Work","Hybrid","1468-263X"
"The British Yearbook of International Law","Hybrid","2044-9437"
"The Cambridge Quarterly","Hybrid","1471-6836"
"The Chinese Journal of Comparative Law","Hybrid","2050-4810"
"The Chinese Journal Of International Politics","Hybrid","1750-8924"
"The Computer Journal","Hybrid","1460-2067"
"The Econometrics Journal","Hybrid","1368-423X"
"The Economic Journal","Hybrid","1468-0297"
"The English Historical Review","Hybrid","1477-4534"
"The Gerontologist","Hybrid","1758-5341"
"The Journal of Aesthetics and Art Criticism","Hybrid","1540-6245"
"The Journal of Applied Laboratory Medicine","Hybrid","2475-7241"
"The Journal Of Biochemistry","Hybrid","1756-2651"
"The Journal of Clinical Endocrinology & Metabolism","Hybrid","1945-7197"
"The Journal of Infectious Diseases","Hybrid","1537-6613"
"The Journal Of Law, Economics, And Organization","Hybrid","1465-7341"
"The Journal of Sexual Medicine","Hybrid","1743-6109"
"The Library","Hybrid","1744-8581"
"The Monist","Hybrid","2153-3601"
"The Musical Quarterly","Hybrid","1741-8399"
"The Opera Quarterly","Hybrid","1476-2870"
"The Philosophical Quarterly","Hybrid","1467-9213"
"The Plant Cell","Hybrid","1532-298X"
"The Quarterly Journal of Economics","Hybrid","1531-4650"
"The Quarterly Journal Of Mathematics","Hybrid","1464-3847"
"The Review Of Financial Studies","Hybrid","1465-7368"
"The Western Historical Quarterly","Hybrid","1939-8603"
"The World Bank Economic Review","Hybrid","1564-698X"
"The World Bank Research Observer","Hybrid","1564-6971"
"Toxicological Sciences","Hybrid","1096-0929"
"Toxicology Research","Hybrid","2045-4538"
"Transactions of the American Fisheries Society","Hybrid","1548-8659"
"Transactions of the Royal Society of Tropical Medicine and Hygiene","Hybrid","1878-3503"
"Translational Behavioral Medicine","Hybrid","1613-9860"
"Tree Physiology","Hybrid","1758-4469"
"Trusts & Trustees","Hybrid","1752-2110"
"Uniform Law Review/Revue De Droit Uniforme","Hybrid","2050-9065"
"Work, Aging and Retirement","Hybrid","2054-4650"
"Yearbook of European Law","Hybrid","2045-0044"
"Yearbook of International Environmental Law","Hybrid","2045-0052"
"Year's Work In Critical And Cultural Theory","Hybrid","1471-681X"
"Year's Work In English Studies","Hybrid","1471-6801"
"Zoological Journal of the Linnean Society","Hybrid","1096-3642"
